287, Nellie McKay, Nellie McKay sings "Clonie", http://video.ted.com/talks/podcast/audio/NellieMcKay_2008.mp3
294, Chris Abani, Chris Abani muses on humanity, http://video.ted.com/talks/podcast/audio/ChrisAbani_2008.mp3
296, Nellie McKay, Nellie McKay sings with sparkling humor, http://video.ted.com/talks/podcast/audio/NellieMcKay_2008.mp3
298, Raul Midon, Raul Midon plays "Peace on Earth", http://video.ted.com/talks/podcast/audio/RaulMidon_2007.mp3
299, Corneille Ewango, Corneille Ewango is a hero of the Congo forest, http://video.ted.com/talks/podcast/audio/CorneilleEwango_2007G.mp3
306, Freeman Dyson, Freeman Dyson says: let's look for life in the outer solar system, http://video.ted.com/talks/podcast/audio/FreemanDyson_2003.mp3
307, Helen Fisher, Helen Fisher studies the brain in love, http://video.ted.com/talks/podcast/audio/HelenFisher_2008.mp3
308, Billy Graham, Billy Graham on technology and faith, http://video.ted.com/talks/podcast/audio/BillyGraham_1998.mp3
312, Martin Seligman, Martin Seligman on positive psychology, http://video.ted.com/talks/podcast/audio/MartinSeligman_2004.mp3
318, Reed Kroloff, Reed Kroloff on modern and romantic architecture, http://video.ted.com/talks/podcast/audio/ReedKroloff_2003.mp3
320, Kwabena Boahen, Kwabena Boahen on a computer that works like the brain, http://video.ted.com/talks/podcast/audio/KwabenaBoahen_2007G.mp3
323, Spencer Wells, Spencer Wells builds a family tree for humanity, http://video.ted.com/talks/podcast/audio/SpencerWells_2007G.mp3
325, Nellie McKay, Nellie McKay sings "The Dog Song", http://video.ted.com/talks/podcast/audio/NellieMcKay_2008.mp3
326, Patricia Burchat, Patricia Burchat sheds light on dark matter, http://video.ted.com/talks/podcast/audio/PatriciaBurchat_2008.mp3
330, Ory Okolloh, Ory Okolloh on becoming an activist, http://video.ted.com/talks/podcast/audio/OryOkolloh_2007G.mp3
340, Jane Goodall, Jane Goodall helps humans and animals live together, http://video.ted.com/talks/podcast/audio/JaneGoodall_2007G.mp3
341, Jonathan Haidt, Jonathan Haidt on the moral roots of liberals and conservatives, http://video.ted.com/talks/podcast/audio/JonathanHaidt_2008.mp3
344, Irwin Redlener, Irwin Redlener on surviving a nuclear attack, http://video.ted.com/talks/podcast/audio/IrwinRedlener_2008.mp3
349, Laura Trice, Laura Trice suggests we all say thank you, http://video.ted.com/talks/podcast/audio/LauraTrice_2008.mp3
351, Marvin Minsky, Marvin Minsky on health and the human mind, http://video.ted.com/talks/podcast/audio/MarvinMinsky_2003.mp3
354, Steven Pinker, Steven Pinker chalks it up to the blank slate, http://video.ted.com/talks/podcast/audio/StevenPinker_2003.mp3
355, Rodney Brooks, Rodney Brooks says robots will invade our lives, http://video.ted.com/talks/podcast/audio/RodneyBrooks_2003.mp3
358, Noah Feldman, Noah Feldman says politics and religion are technologies, http://video.ted.com/talks/podcast/audio/NoahFeldman_2003.mp3
359, Liz Diller, Liz Diller plays with architecture, http://video.ted.com/talks/podcast/audio/ElizabethDiller_2007.mp3
362, Steven Johnson, Steven Johnson on the Web as a city, http://video.ted.com/talks/podcast/audio/StevenJohnson_2003.mp3
363, Doris Kearns Goodwin, Doris Kearns Goodwin on learning from past presidents, http://video.ted.com/talks/podcast/audio/DorisKearnsGoodwin_2008.mp3
365, Jared Diamond, Jared Diamond on why societies collapse, http://video.ted.com/talks/podcast/audio/JaredDiamond_2003.mp3
366, Mihaly Csikszentmihalyi, Mihaly Csikszentmihalyi on flow, http://video.ted.com/talks/podcast/audio/MihalyCsikszentmihalyi_2004.mp3
374, John Hodgman, "John Hodgman: Aliens, love -- where are they?", http://video.ted.com/talks/podcast/audio/JohnHodgman_2008.mp3
375, Virginia Postrel, Virginia Postrel on glamour, http://video.ted.com/talks/podcast/audio/VirginiaPostrel_2004.mp3
377, Dean Ornish, Dean Ornish on healing, http://video.ted.com/talks/podcast/audio/DeanOrnish_2004.mp3
390, James Surowiecki, James Surowiecki: When social media became news, http://video.ted.com/talks/podcast/audio/JamesSurowiecki_2005.mp3
391, John Francis, John Francis walks the Earth, http://video.ted.com/talks/podcast/audio/JohnFrancis_2008.mp3
395, Samantha Power, Samantha Power on a complicated hero, http://video.ted.com/talks/podcast/audio/SamanthaPower_2008.mp3
402, Stewart Brand, Stewart Brand on the Long Now, http://video.ted.com/talks/podcast/audio/StewartBrand_2004.mp3
403, Franco Sacchi, Franco Sacchi tours Nigeria's booming Nollywood, http://video.ted.com/talks/podcast/audio/FrancoSacchi_2007G.mp3
405, Bill Joy, "Bill Joy: What I'm worried about, what I'm excited about", http://video.ted.com/talks/podcast/audio/BillJoy_2006.mp3
408, Gregory Petsko, Gregory Petsko on the coming neurological epidemic, http://video.ted.com/talks/podcast/audio/GregoryPetsko_2008.mp3
409, Richard Preston, Richard Preston on the giant trees, http://video.ted.com/talks/podcast/audio/RichardPreston_2008.mp3
413, David Holt, David Holt plays mountain music, http://video.ted.com/talks/podcast/audio/DavidHolt_2004.mp3
420, Dan Gilbert, Dan Gilbert on our mistaken expectations, http://video.ted.com/talks/podcast/audio/DanGilbert_2005G.mp3
421, Penelope Boston, Penelope Boston says there might be life on Mars, http://video.ted.com/talks/podcast/audio/PenelopeBoston_2006.mp3
426, Kary Mullis, Kary Mullis celebrates the experiment, http://video.ted.com/talks/podcast/audio/KaryMullis_2002.mp3
428, Paul Sereno, Paul Sereno digs up dinosaurs, http://video.ted.com/talks/podcast/audio/PaulSereno_2005.mp3
431, Rob Forbes, Rob Forbes on ways of seeing, http://video.ted.com/talks/podcast/audio/RobForbes_2006.mp3
434, Joseph Pine, Joseph Pine on what consumers want, http://video.ted.com/talks/podcast/audio/JosephPine_2004.mp3
439, Jamais Cascio, Jamais Cascio on tools for a better world, http://video.ted.com/talks/podcast/audio/JamaisCascio_2006.mp3
440, Peter Ward, Peter Ward on Earth's mass extinctions, http://video.ted.com/talks/podcast/audio/PeterWard_2008.mp3
442, Woody Norris, Woody Norris invents amazing things, http://video.ted.com/talks/podcast/audio/WoodyNorris_2004.mp3
445, Joe DeRisi, Joe DeRisi solves medical mysteries, http://video.ted.com/talks/podcast/audio/JoeDerisi_2006.mp3
457, David Merrill, David Merrill demos Siftables, http://video.ted.com/talks/podcast/audio/DavidMerrill_2009.mp3
462, Barry Schwartz, Barry Schwartz on our loss of wisdom, http://video.ted.com/talks/podcast/audio/BarrySchwartz_2009.mp3
463, Juan Enriquez, Juan Enriquez shares mindboggling science, http://video.ted.com/talks/podcast/audio/JuanEnriquez_2009.mp3
464, Jose Antonio Abreu, Jose Abreu on kids transformed by music, http://video.ted.com/talks/podcast/audio/JoseAntonioAbreu_2009.mp3
467, Sylvia Earle, Sylvia Earle's TED Prize wish to protect our oceans, http://video.ted.com/talks/podcast/audio/SylviaEarle_2009.mp3
468, Jill Tarter, Jill Tarter's call to join the SETI search, http://video.ted.com/talks/podcast/audio/JillTarter_2009.mp3
469, Ed Ulbrich, Ed Ulbrich: How Benjamin Button got his face, http://video.ted.com/talks/podcast/audio/EdUlbrich_2009.mp3
470, Charles Moore, Capt. Charles Moore on the seas of plastic, http://video.ted.com/talks/podcast/audio/CharlesMoore_2009.mp3
